                   MONTHLY CLIMATOLOGICAL SUMMARY for Jun 2016


NAME: Lake Echo, Nova Scotia                  
ELEV: 26 meters    LAT: 44-44.28 N    LONG: 063-22.66 W


                   TEMPERATURE (C), RAIN (cm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   14.4   18.0  14:30    8.6  00:00    3.9    0.0   0.00    8.1   33.8  09:00     15
 02    8.6   13.0  15:30    3.2  05:50    9.8    0.0   0.00    3.4   22.5  10:35    133
 03   10.9   13.9  15:40    8.3  05:25    7.5    0.0   0.00    3.1   25.7  12:40    133
 04   13.0   18.7  14:45    9.2  00:05    5.4    0.0   0.00    2.1   20.9  15:45    128
 05   13.1   18.9  12:40   10.4  23:00    5.2    0.0   0.00    2.2   22.5  14:35    167
 06   11.5   12.6  13:25    9.6  04:50    6.8    0.0   1.60    4.9   33.8  10:50    130
 07   12.7   16.1  14:05   11.2  04:10    5.6    0.0   0.02    2.1   19.3  15:30    160
 08   13.4   16.1  15:20   10.6  00:00    4.9    0.0   1.60    1.4   17.7  16:00    141
 09   12.9   15.9  12:50    9.6  00:00    5.4    0.0   0.08    4.1   27.4  11:10    290
 10   11.0   15.0  19:30    7.4  00:00    7.3    0.0   0.00    7.3   32.2  19:20    359
 11   14.6   21.2  16:40    7.1  00:30    3.7    0.0   0.00    3.1   33.8  17:25    241
 12   12.2   13.8  15:30   11.4  20:50    6.1    0.0   0.86    1.9   25.7  11:25    137
 13   12.2   13.6  12:15   11.2  20:35    6.1    0.0   0.02    2.9   29.0  11:30    187
 14   11.3   12.9  14:30   10.2  23:05    7.0    0.0   0.04    4.0   22.5  22:50    327
 15   11.6   14.4  12:55    9.3  00:00    6.7    0.0   0.02    4.1   22.5  12:20    347
 16   11.4   14.3  10:30    6.8  23:35    6.9    0.0   0.00    3.5   27.4  09:40    355
 17   12.6   19.1  15:45    6.7  06:25    5.7    0.0   0.00    7.4   37.0  15:00     11
 18   16.2   25.4  18:20    6.9  05:10    2.2    0.0   0.00    2.6   27.4  14:15    351
 19   19.2   27.4  14:35    8.4  04:30    0.0    0.8   0.00    3.7   32.2  16:30    239
 20   17.7   23.6  14:25   11.2  06:20    0.7    0.0   0.00    4.6   38.6  15:25    214
 21   15.9   21.1  14:00   11.6  00:05    2.4    0.0   0.04    4.6   38.6  14:30    214
 22   15.8   20.8  14:20   13.2  06:10    2.5    0.0   0.02    2.1   22.5  15:55    186
 23   17.6   24.2  16:05   12.2  23:35    0.8    0.0   0.00    3.6   33.8  14:15    225
 24   17.5   25.3  17:10    8.9  05:40    0.8    0.0   0.00    2.0   20.9  15:10    343
 25   16.1   23.4  15:05    8.4  05:55    2.2    0.0   0.00    1.8   17.7  13:25    180
 26   17.9   24.2  13:30   10.4  05:40    0.4    0.0   0.00    1.7   20.9  13:40    129
 27   18.7   25.2  15:50   14.7  00:00    0.0    0.3   0.06    4.3   38.6  19:00    207
 28   18.7   23.9  13:55   13.7  03:15    0.0    0.4   0.00    3.3   29.0  15:10    181
 29   17.7   19.6  16:45   16.3  22:35    0.6    0.0   0.28    1.7   20.9  14:15    168
 30   20.2   27.7  17:20   16.5  00:30    0.0    1.8   0.30    1.1   19.3  18:45    190
---------------------------------------------------------------------------------------
      14.6   27.7     30    3.2     02  116.7    3.4   4.94    3.4   38.6     20    219
    
