                   MONTHLY CLIMATOLOGICAL SUMMARY for Jul 2016


NAME: Lake Echo, Nova Scotia                  
ELEV: 26 meters    LAT: 44-44.28 N    LONG: 063-22.66 W


                   TEMPERATURE (C), RAIN (cm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   20.3   26.1  11:25   13.9  05:40    0.0    2.0   0.02    1.8   25.7  16:30    189
 02   16.6   19.2  16:55   14.1  03:10    1.8    0.0   0.10    2.4   24.1  17:15    154
 03   19.3   23.9  19:10   14.0  06:05    0.0    0.9   0.02    4.4   45.1  14:00    293
 04   21.2   28.3  16:55   13.5  03:40    0.0    2.9   0.00    2.7   30.6  17:35    273
 05   21.1   26.2  13:00   15.1  23:00    0.0    2.7   0.00    3.8   33.8  14:45    217
 06   18.9   23.7  17:05   15.0  00:40    0.0    0.5   1.00    3.1   19.3  18:35     19
 07   14.1   16.5  15:00   12.7  07:40    4.3    0.0   0.18    2.1   20.9  13:05    122
 08   14.1   16.8  16:05   12.3  08:15    4.2    0.0   1.52    2.9   22.5  01:40     49
 09   14.7   18.2  14:40   12.3  05:40    3.6    0.0   0.00    1.8   19.3  15:40     66
 10   13.9   15.1  13:30   13.1  23:40    4.4    0.0   1.08    0.7   14.5  09:55     49
 11   16.9   21.7  18:05   13.0  00:10    1.5    0.0   0.32    6.5   30.6  17:10      9
 12   19.9   28.8  14:10   11.2  06:10    0.0    1.5   0.00    1.6   30.6  18:30      8
 13   18.7   24.8  11:20   13.2  05:15    0.0    0.4   0.00    1.9   22.5  15:35    158
 14   20.3   25.3  18:05   15.3  03:00    0.0    2.0   0.00    6.1   43.5  17:30    209
 15   21.7   29.1  17:35   18.2  02:25    0.0    3.4   0.42    5.3   33.8  04:25    210
 16   21.3   27.7  13:35   17.1  05:45    0.0    2.9   0.00    1.8   19.3  16:00    166
 17   20.0   25.2  13:30   17.3  02:45    0.0    1.7   0.30    0.7   12.9  13:30    193
 18   19.5   22.9  13:45   17.2  00:15    0.0    1.2   0.00    1.7   17.7  16:00    180
 19   22.2   28.4  17:25   17.2  00:50    0.0    3.9   0.44    2.7   19.3  01:45    308
 20   19.4   25.2  16:10   11.9  05:05    0.0    1.1   0.00    3.3   32.2  11:15    317
 21   21.7   30.1  17:20   13.2  06:25    0.0    3.3   0.00    1.7   19.3  17:25    313
 22   19.6   23.5  15:35   15.4  05:35    0.0    1.3   0.00    6.2   35.4  19:00    211
 23   20.4   27.7  17:10   16.8  23:40    0.0    2.0   0.02    3.3   29.0  13:20    207
 24   19.9   27.8  15:00   15.1  04:00    0.0    1.6   1.06    1.1   19.3  18:25    167
 25   21.5   27.6  16:15   16.0  06:25    0.0    3.1   0.00    1.3   19.3  14:00    167
 26   18.7   21.3  13:00   16.9  04:30    0.0    0.3   0.62    1.0   20.9  17:05    177
 27   22.5   28.2  14:00   18.8  02:45    0.0    4.2   0.02    1.0   20.9  17:00    185
 28   21.2   27.1  14:50   17.3  01:50    0.0    2.9   0.00    1.6   20.9  15:10    178
 29   20.7   25.7  15:40   17.2  05:35    0.0    2.4   0.00    1.1   19.3  14:45    169
 30   22.7   28.7  16:30   16.8  00:00    0.0    4.4   0.00    1.6   17.7  17:10    351
 31   21.2   28.2  15:20   14.7  05:35    0.0    2.9   0.00    0.6   20.9  14:30    247
---------------------------------------------------------------------------------------
      19.5   30.1     21   11.2     12   19.7   55.6   7.12    2.5   45.1     03    217
    
