                   MONTHLY CLIMATOLOGICAL SUMMARY for Nov 2016


NAME: Lake Echo, Nova Scotia                  
ELEV: 26 meters    LAT: 44-44.28 N    LONG: 063-22.66 W


                   TEMPERATURE (C), RAIN (cm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01    8.0    9.4  14:55    6.9  07:55   10.3    0.0   0.00    7.8   30.6  10:10      9
 02    7.4   12.1  15:40    3.9  22:15   11.0    0.0   0.00    2.7   19.3  13:20    351
 03    8.9   10.2  13:30    5.7  00:05    9.4    0.0   0.30    2.4   19.3  13:45    355
 04    7.6   10.1  14:25    5.0  00:00   10.7    0.0   0.22    3.8   24.1  17:00    342
 05    2.7    6.1  16:35   -0.9  00:00   15.6    0.0   0.00    2.7   20.9  00:05    339
 06    3.2    5.8  15:00   -1.2  00:25   15.2    0.0   0.46    3.2   22.5  21:55     24
 07    3.4    8.4  16:00   -0.7  22:45   14.9    0.0   0.00    4.8   19.3  00:20     23
 08    2.9   10.7  15:35   -2.0  05:35   15.5    0.0   0.02    0.8   14.5  12:25    134
 09    5.8   14.3  15:40   -0.2  06:00   12.5    0.0   0.02    0.4    9.7  23:00    356
 10    4.8    9.6  00:05   -0.3  21:35   13.5    0.0   0.00    4.3   25.7  01:10    346
 11    8.4   13.4  12:55    1.2  00:10    9.9    0.0   0.02    6.3   41.8  11:00    258
 12    4.1    7.1  15:30    1.3  07:40   14.2    0.0   0.08    7.3   35.4  22:35    314
 13    7.1   12.4  14:30    0.1  00:00   11.3    0.0   0.00    4.0   37.0  00:45    274
 14    5.9   15.2  15:15   -0.4  03:30   12.4    0.0   0.00    1.7   29.0  13:05    224
 15    8.3   14.0  13:30    1.3  00:35   10.0    0.0   0.02    0.6   16.1  12:00    172
 16   12.0   13.4  23:35   11.1  04:30    6.3    0.0   1.38    4.0   25.7  12:10    103
 17   11.1   12.9  00:05    9.8  07:45    7.2    0.0   0.00    1.1   20.9  00:25    188
 18    8.9   10.7  02:25    7.8  17:25    9.4    0.0   0.70   13.7   33.8  05:40     19
 19    9.1   10.7  13:35    8.3  01:10    9.3    0.0   0.60   11.2   32.2  12:50     17
 20   10.9   12.6  10:30    8.1  00:00    7.4    0.0   0.22    2.6   27.4  20:15    160
 21    8.3   11.2  12:30    5.2  00:00   10.0    0.0   0.20    4.6   38.6  13:05    204
 22    3.6    5.5  14:30    0.8  23:10   14.7    0.0   0.06    2.8   24.1  17:25    246
 23    3.8    5.9  13:55    1.2  00:05   14.5    0.0   0.00    6.3   29.0  13:15    304
 24    3.0    5.4  15:00    0.2  23:10   15.3    0.0   0.02    6.0   29.0  12:45    346
 25    1.5    4.1  12:25   -1.2  07:20   16.8    0.0   0.00    0.7   14.5  10:45     22
 26    2.9    7.1  14:35   -1.7  06:40   15.4    0.0   0.00    1.6   19.3  20:35     55
 27    2.3    4.0  00:05    1.1  23:55   16.0    0.0   0.46   12.6   46.7  13:10    345
 28    2.5    4.3  16:05    0.6  03:10   15.8    0.0   0.00    4.1   22.5  10:50    306
 29    2.5    4.3  12:40    0.9  07:55   15.8    0.0   0.00    5.3   27.4  10:00    346
 30    3.3    5.9  08:45    1.3  21:05   15.0    0.0   1.98    6.3   33.8  06:25     55
---------------------------------------------------------------------------------------
       5.8   15.2     14   -2.0     08  375.4    0.0   6.76    4.5   46.7     27    351
    
