                   MONTHLY CLIMATOLOGICAL SUMMARY for Feb 2017


NAME: Lake Echo, Nova Scotia                  
ELEV: 26 meters    LAT: 44-44.28 N    LONG: 063-22.66 W


                   TEMPERATURE (C), RAIN (cm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   -3.9    0.6  14:25   -9.6  02:05   22.2    0.0   0.00    1.2   16.1  15:50    113
 02   -2.2    1.3  16:55   -7.6  23:45   20.5    0.0   0.00    3.3   25.7  13:25    297
 03   -6.8   -3.6  15:15  -11.1  07:15   25.2    0.0   0.00    4.0   41.8  10:30    305
 04   -9.8   -7.1  15:15  -13.8  08:10   28.2    0.0   0.00    4.1   33.8  13:30    326
 05   -6.8    1.7  22:45  -16.8  05:45   25.1    0.0   0.00    1.8   19.3  14:15    168
 06   -3.0    1.2  02:45   -8.0  21:15   21.4    0.0   0.00    5.4   41.8  10:50    307
 07   -9.3   -7.2  01:00  -11.5  08:50   27.6    0.0   0.00    5.1   30.6  10:10    338
 08    1.1    7.2  14:40  -10.8  00:55   17.2    0.0   0.74    3.9   37.0  05:30    117
 09   -1.5    2.7  00:10   -4.6  00:00   19.9    0.0   0.00    8.3   40.2  20:10     30
 10   -8.8   -4.4  02:15  -13.8  23:50   27.2    0.0   0.00   12.7   56.3  05:00    323
 11  -11.9   -7.8  13:55  -18.3  04:25   30.3    0.0   0.00    0.6   11.3  10:15    343
 12   -6.2   -1.1  14:40  -13.6  07:45   24.5    0.0   0.00    4.6   37.0  23:55     56
 13   -1.6   -0.6  11:00   -3.1  23:55   19.9    0.0   0.00   15.6   69.2  12:50     47
 14   -3.2   -1.1  14:25   -5.2  23:10   21.6    0.0   0.00   18.3   56.3  00:05    358
 15   -2.8    0.1  14:15   -5.2  00:05   21.2    0.0   0.00    3.2   27.4  23:45    349
 16   -1.7    1.4  10:40   -3.1  02:05   20.1    0.0   0.00   10.5   57.9  15:40    332
 17   -1.8   -0.3  13:35   -4.0  06:35   20.1    0.0   0.00    5.5   32.2  13:20    285
 18   -0.9    3.4  15:10   -7.8  06:55   19.2    0.0   0.06    2.7   19.3  12:40    252
 19    4.4    8.7  15:25    1.3  00:25   13.9    0.0   0.18    1.4   16.1  10:35    275
 20   -0.2    2.3  00:05   -2.4  21:00   18.6    0.0   0.02   12.4   40.2  22:35      6
 21   -1.7    2.8  16:05   -7.7  23:45   20.0    0.0   0.00    7.8   37.0  00:15     15
 22   -2.2    5.0  12:50   -9.5  03:50   20.5    0.0   0.00    1.1   16.1  13:20    148
 23    1.8    7.1  14:10   -3.5  03:10   16.6    0.0   0.00    2.9   29.0  00:00    195
 24    6.6   12.6  14:40    2.8  19:15   11.7    0.0   0.06    1.7   19.3  00:05    192
 25    5.5    9.9  00:00    2.1  05:45   12.8    0.0   0.02    1.6   30.6  23:40    143
 26    6.3   10.4  00:35    0.4  00:00   12.1    0.0   1.88    7.5   45.1  03:40    234
 27    0.7    4.6  16:30   -4.5  07:35   17.6    0.0   0.00    6.7   35.4  13:30    256
 28    0.8    6.4  14:25   -3.3  22:50   17.5    0.0   0.00    2.1   17.7  00:05     35
---------------------------------------------------------------------------------------
      -2.1   12.6     24  -18.3     11  572.5    0.0   2.96    5.6   69.2     13    350
    
