                   MONTHLY CLIMATOLOGICAL SUMMARY for Aug 2018


NAME: Lake Echo, Nova Scotia                  
ELEV: 26 meters    LAT: 44-44.28 N    LONG: 063-22.66 W


                   TEMPERATURE (C), RAIN (cm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   22.0   29.8  15:35   15.1  05:50    0.0    3.7   0.00    0.8   19.3  17:05    166
 02   21.5   27.7  16:35   16.6  05:00    0.0    3.1   0.00    1.2   22.5  12:10    170
 03   24.4   32.9  18:10   18.0  02:25    0.0    6.0   0.00    0.6   11.3  13:40    277
 04   21.9   27.9  13:05   17.1  06:10    0.0    3.5   0.02    0.7   14.5  12:05    145
 05   20.3   24.6  12:15   17.3  23:50    0.0    2.0   0.74    1.1   14.5  15:20    359
 06   21.1   27.8  11:55   14.7  06:35    0.0    2.8   0.02    0.6   11.3  12:10    130
 07   22.0   29.4  13:15   17.0  06:05    0.0    3.7   0.00    0.6    9.7  13:45    144
 08   22.4   28.3  17:15   17.6  00:00    0.0    4.0   0.02    0.3    8.0  14:50    194
 09   20.3   22.6  14:00   17.4  00:40    0.0    2.0   0.56    1.1   17.7  15:20    160
 10   23.0   28.6  16:20   18.4  00:00    0.0    4.7   0.00    1.2   17.7  15:40    175
 11   19.8   28.4  16:05   11.8  05:25    0.0    1.5   0.00    1.0   17.7  16:10    244
 12   20.9   28.3  16:55   14.8  06:45    0.0    2.5   0.00    0.6   11.3  15:35    163
 13   19.9   27.0  13:45   12.6  06:20    0.0    1.5   0.00    0.7   16.1  16:50    172
 14   20.5   25.2  11:20   16.1  04:15    0.0    2.2   0.50    0.7   16.1  12:20    154
 15   21.4   25.4  13:20   19.3  05:20    0.0    3.1   0.00    0.8   17.7  13:30    167
 16   22.3   28.5  15:10   17.3  06:55    0.0    4.0   0.00    2.3   17.7  19:55    341
 17   18.8   24.3  16:05   13.9  00:00    0.0    0.4   0.00    2.0   16.1  01:40      4
 18   17.8   20.7  18:25   12.8  04:25    0.5    0.0   1.08    1.0   14.5  10:45    247
 19   19.4   23.6  15:50   16.6  00:00    0.0    1.0   0.00    2.9   17.7  11:15     19
 20   18.1   23.3  16:20   13.8  00:00    0.2    0.0   0.00    1.4   12.9  13:05     60
 21   18.7   24.8  15:40   13.7  07:00    0.0    0.4   0.00    1.3   16.1  15:40     41
 22   19.8   22.1  16:30   18.2  01:40    0.0    1.5   0.82    1.4   22.5  22:20    142
 23   21.1   25.2  14:15   15.1  00:00    0.0    2.8   0.00    1.3   17.7  00:05    197
 24   19.0   26.7  16:10   11.7  07:00    0.0    0.7   0.00    0.8   11.3  11:05    267
 25   18.8   27.6  15:05   12.3  06:40    0.0    0.5   0.00    0.7   14.5  12:10    193
 26   18.0   24.8  15:45   10.4  06:35    0.3    0.0   0.00    0.8   17.7  12:35    149
 27   20.8   26.8  14:10   15.2  06:55    0.0    2.5   0.00    0.6   14.5  13:15    147
 28   21.9   29.4  13:50   15.1  05:30    0.0    3.6   0.00    1.1   22.5  18:05    154
 29   24.1   31.6  17:35   18.7  00:00    0.0    5.8   0.00    1.7   24.1  11:00    332
 30   22.0   30.8  14:50   16.0  00:00    0.0    3.7   0.00    3.3   25.7  16:30      0
 31   17.2   23.4  16:30   11.4  06:15    1.1    0.0   0.00    2.4   19.3  13:55     16
---------------------------------------------------------------------------------------
      20.6   32.9     03   10.4     26    2.1   73.3   3.76    1.2   25.7     30     63
    
