                   MONTHLY CLIMATOLOGICAL SUMMARY for Jan 2019


NAME: Lake Echo, Nova Scotia                  
ELEV: 26 meters    LAT: 44-44.28 N    LONG: 063-22.66 W


                   TEMPERATURE (C), RAIN (cm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   -0.6    4.2  17:55   -9.3  00:05   18.9    0.0   0.70    6.5   41.8  20:40    340
 02   -8.2    0.1  00:05  -16.3  23:50   26.6    0.0   0.00    8.7   43.5  02:00    334
 03  -10.7   -3.4  15:25  -18.6  05:40   29.0    0.0   0.00    0.7   11.3  13:30     41
 04   -2.2    2.8  15:30   -8.4  04:15   20.6    0.0   0.12    1.0   17.7  23:05    167
 05    2.3    3.3  14:15    0.1  06:35   16.1    0.0   0.20    1.6   20.9  01:10     40
 06    0.8    3.1  02:20   -0.6  20:30   17.5    0.0   0.50    8.7   33.8  12:05    338
 07   -5.9   -0.3  00:05  -10.1  00:00   24.3    0.0   0.00   12.6   41.8  11:10    338
 08   -6.1   -0.9  00:00  -10.2  00:55   24.4    0.0   0.00    2.4   25.7  03:30    350
 09    2.4    7.0  15:40   -0.8  00:05   16.0    0.0   3.78    6.1   43.5  08:05    132
 10    1.5    3.9  14:30   -1.1  23:35   16.9    0.0   0.00    4.3   32.2  01:30    214
 11   -3.6   -1.1  00:05   -7.7  23:55   22.0    0.0   0.00    4.6   25.7  10:10    301
 12   -9.5   -7.1  15:10  -11.3  07:20   27.9    0.0   0.00    5.1   25.7  10:00    311
 13   -9.1   -2.8  15:25  -14.2  23:50   27.4    0.0   0.00    1.9   17.7  12:10    325
 14  -11.7   -4.9  15:55  -17.3  07:15   30.0    0.0   0.00    0.8   11.3  23:20     13
 15   -6.4   -2.1  14:45   -9.8  06:30   24.8    0.0   0.00    8.3   30.6  11:10    347
 16   -4.4    1.7  21:40  -12.3  04:45   22.8    0.0   0.02    1.9   24.1  15:05    172
 17   -7.5    0.7  00:05  -15.5  23:55   25.8    0.0   0.00    5.2   30.6  13:45    322
 18   -7.3   -0.2  22:05  -15.6  02:15   25.6    0.0   0.00    1.4   16.1  14:45    130
 19   -5.9    0.1  05:15  -13.2  00:00   24.2    0.0   0.00    6.5   32.2  09:00    348
 20   -2.1    9.3  21:50  -13.1  00:05   20.5    0.0   2.56    6.3   37.0  12:40    121
 21    1.0    9.8  01:30   -5.8  23:45   17.4    0.0   1.16    4.5   37.0  01:30    209
 22   -9.6   -5.9  00:05  -11.5  12:10   27.9    0.0   0.00    7.4   32.2  12:30    321
 23   -5.5    1.2  00:00  -12.9  08:00   23.8    0.0   0.00    1.7   17.7  00:25    234
 24    6.4    9.3  15:40    1.2  00:10   11.9    0.0   1.06    5.8   43.5  23:50    185
 25    4.8    9.9  02:25   -2.4  20:55   13.5    0.0   0.16    4.3   51.5  02:10    242
 26   -1.6    1.4  15:15   -5.8  08:05   20.0    0.0   0.00    1.4   20.9  15:05    217
 27   -0.5    3.3  22:25   -5.3  07:25   18.9    0.0   0.00    1.5   17.7  21:25    132
 28    0.3    3.9  13:05   -7.6  23:55   18.1    0.0   0.04    4.5   32.2  23:05    352
 29   -6.9   -1.9  15:15  -11.1  08:10   25.3    0.0   0.00    5.8   29.0  00:10     11
 30   -0.7    3.3  19:20   -7.0  00:25   19.0    0.0   0.96    3.4   27.4  09:25    132
 31   -6.5   -1.0  04:25  -11.3  23:55   24.8    0.0   0.00    6.3   40.2  08:55    288
---------------------------------------------------------------------------------------
      -3.7    9.9     25  -18.6     03  681.7    0.0  11.26    4.5   51.5     25    329
    
