                   MONTHLY CLIMATOLOGICAL SUMMARY for Mar 2019


NAME: Lake Echo, Nova Scotia                  
ELEV: 26 meters    LAT: 44-44.28 N    LONG: 063-22.66 W


                   TEMPERATURE (C), RAIN (cm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   -6.3    1.6  17:10  -14.7  05:00   24.7    0.0   0.00    3.3   27.4  12:00    326
 02   -5.2    1.1  11:40  -13.3  06:05   23.6    0.0   0.00    2.2   29.0  23:30     52
 03   -5.3   -0.1  16:50  -10.9  22:10   23.7    0.0   0.00    6.4   32.2  01:10    347
 04   -3.3    2.2  17:10   -9.8  02:20   21.7    0.0   0.40    5.8   46.7  14:10     27
 05   -4.3    0.8  16:05  -11.6  00:00   22.6    0.0   0.00    3.5   29.0  09:15    299
 06   -8.2   -0.8  12:45  -14.7  04:20   26.5    0.0   0.00    1.8   25.7  17:40    324
 07  -12.0   -6.2  13:25  -17.9  00:00   30.3    0.0   0.00    2.3   25.7  10:15    306
 08   -9.8   -0.3  16:40  -22.7  04:25   28.1    0.0   0.00    3.0   29.0  16:55    263
 09   -1.3    3.8  12:45   -9.5  00:00   19.6    0.0   0.04    5.6   33.8  14:40    327
 10   -6.5    0.6  13:30  -17.0  07:45   24.8    0.0   0.00    2.4   30.6  23:35    140
 11    3.5    9.4  15:05   -2.1  23:40   14.8    0.0   0.66    5.4   40.2  05:35    163
 12   -0.8    3.9  16:05   -5.9  07:45   19.1    0.0   0.00    2.2   19.3  17:50    321
 13   -0.3    5.9  14:55   -6.1  07:30   18.6    0.0   0.00    1.5   16.1  15:50    309
 14   -0.3    9.1  14:25   -8.5  07:40   18.7    0.0   0.00    1.2   17.7  11:15    195
 15    2.0    6.7  23:05   -4.1  01:30   16.3    0.0   0.64    3.4   33.8  21:05    175
 16    6.5   11.2  17:15    2.2  20:55   11.8    0.0   1.88    3.5   24.1  00:25    202
 17   -0.5    2.9  16:45   -3.6  08:05   18.8    0.0   0.00    6.1   40.2  14:45    312
 18   -3.8    2.5  18:05  -10.6  07:05   22.1    0.0   0.00    2.5   27.4  14:10    296
 19   -4.3    1.9  14:15  -11.6  07:30   22.7    0.0   0.00    2.0   24.1  16:15    325
 20   -3.7    5.5  15:55  -12.4  07:25   22.0    0.0   0.00    1.8   25.7  17:40    284
 21   -1.9    6.2  15:10   -9.5  07:15   20.3    0.0   0.00    1.8   22.5  13:30    173
 22    3.5    6.3  15:20   -0.1  00:05   14.8    0.0   2.62    4.8   43.5  14:00    128
 23    3.0    4.7  16:45    1.8  03:25   15.4    0.0   0.04    6.6   35.4  00:20    209
 24    4.9   10.9  17:30    0.3  07:40   13.5    0.0   0.00    5.7   27.4  14:00    314
 25    1.1    6.4  15:40   -4.4  23:50   17.3    0.0   0.00    3.5   29.0  12:30    318
 26   -2.2    3.5  17:05   -8.9  07:15   20.5    0.0   0.00    3.5   27.4  14:45    323
 27   -3.0    3.9  17:05  -10.1  07:25   21.4    0.0   0.00    3.2   22.5  10:40      6
 28   -1.9    2.7  16:55   -8.5  06:30   20.2    0.0   0.00    3.4   30.6  13:20    173
 29    4.4    9.9  14:10    0.2  00:05   13.9    0.0   0.02    2.9   22.5  10:10    162
 30    4.8    7.9  15:00    1.7  00:00   13.5    0.0   0.10    1.7   16.1  17:35    100
 31    5.6   10.9  13:45    1.5  00:55   12.8    0.0   0.04    2.3   25.7  14:25    180
---------------------------------------------------------------------------------------
      -1.5   11.2     16  -22.7     08  614.2    0.0   6.44    3.4   46.7     04    301
    
