                   MONTHLY CLIMATOLOGICAL SUMMARY for Apr 2020


NAME: Lake Echo, Nova Scotia                  
ELEV: 26 meters    LAT: 44-44.28 N    LONG: 063-22.66 W


                   TEMPERATURE (C), RAIN (cm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01    4.3   10.6  16:48   -0.1  00:00   14.0    0.0   0.38    6.7   24.1  16:10     12
 02    7.6    8.4  14:57    6.4  00:04   10.7    0.0   2.26    9.0   38.6  22:41     55
 03    6.9    7.9  00:56    4.2  23:59   11.4    0.0   0.58    9.9   37.0  14:38     44
 04    2.9    6.0  14:33    0.6  23:53   15.4    0.0   0.00    8.2   29.0  12:30     27
 05    1.1    6.7  13:01   -2.0  06:07   17.2    0.0   0.00    4.4   20.9  15:24     41
 06    5.2   12.3  15:58   -0.2  00:04   13.1    0.0   0.00    3.6   27.4  14:50    301
 07    0.9    5.1  17:18   -3.5  07:20   17.5    0.0   0.00    3.7   29.0  15:53    338
 08    2.6    8.8  16:07   -2.4  00:00   15.7    0.0   0.00    2.1   20.9  19:56     53
 09    0.9    6.5  11:36   -5.9  05:54   17.4    0.0   0.00    2.7   29.0  23:44    142
 10    3.0    6.4  13:54    0.8  02:03   15.3    0.0   1.18    8.6   49.9  10:07    194
 11    3.9    7.6  13:39    0.6  02:20   14.4    0.0   0.00    6.7   32.2  11:17    311
 12    5.5   12.4  16:57   -0.7  05:15   12.8    0.0   0.00    4.2   25.7  11:58    300
 13    5.7    9.6  15:02    2.6  06:30   12.7    0.0   1.10    3.4   32.2  22:03    157
 14   11.4   18.1  17:00    4.1  23:44    7.0    0.0   1.12    4.9   45.1  03:37    211
 15    3.5    5.3  06:56    2.2  10:48   14.9    0.0   0.20    1.8   14.5  08:34    358
 16    3.3    7.2  15:21   -0.7  23:50   15.1    0.0   0.00    4.8   29.0  11:19    304
 17    1.7    6.2  15:49   -4.6  06:19   16.6    0.0   0.00    3.7   33.8  12:50    314
 18    1.4    4.6  10:49   -3.3  06:35   16.9    0.0   0.04    2.7   19.3  23:57    115
 19    3.6    9.7  18:21   -0.9  23:57   14.7    0.0   0.02   13.2   54.7  11:07    351
 20    6.3   14.8  15:29   -1.7  02:18   12.0    0.0   0.00    4.0   27.4  15:43    340
 21    4.0   10.8  15:46   -0.4  07:03   14.4    0.0   0.00    6.5   30.6  04:01     12
 22    4.4    8.9  12:55   -0.1  22:48   13.9    0.0   0.66    6.6   40.2  05:48    208
 23    3.0    8.0  17:21   -1.6  04:42   15.3    0.0   0.00    6.6   33.8  12:01    296
 24    3.1    9.2  11:54   -2.2  06:05   15.2    0.0   0.98    2.1   19.3  09:02    189
 25    6.4   13.9  15:51   -0.6  06:12   11.9    0.0   0.00    5.5   32.2  15:16    342
 26    5.8   14.1  16:33   -2.7  06:02   12.5    0.0   0.00    1.8   19.3  12:20    163
 27    3.5    6.8  01:25    0.9  05:53   14.8    0.0   1.78    7.3   29.0  14:57     43
 28    1.0    3.2  00:00    0.4  17:15   17.3    0.0   0.68   12.9   37.0  20:28     14
 29    3.3    9.3  16:12   -1.1  23:09   15.0    0.0   0.02    8.8   30.6  01:15      7
 30    3.4   10.3  15:00   -3.3  06:03   15.0    0.0   0.02    1.9   19.3  13:55    161
---------------------------------------------------------------------------------------
       4.0   18.1     14   -5.9     09  430.4    0.0  11.02    5.6   54.7     19      2
    
