                   MONTHLY CLIMATOLOGICAL SUMMARY for Sep 2020


NAME: Lake Echo, Nova Scotia                  
ELEV: 26 meters    LAT: 44-44.28 N    LONG: 063-22.66 W


                   TEMPERATURE (C), RAIN (cm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   13.3   21.3  14:45    5.8  06:56    5.1    0.0   0.00    0.5   16.1  16:48    154
 02   13.9   20.3  13:43    6.8  03:39    4.5    0.0   0.00    1.2   19.3  12:41    141
 03   18.4   20.1  13:14   16.7  04:41    0.0    0.0   1.20    1.1   17.7  08:12    146
 04   20.0   24.7  13:53   17.7  19:48    0.0    1.6   0.24    1.1   16.1  05:10    145
 05   18.8   25.0  15:13   10.7  23:59    0.0    0.4   0.00    1.3   22.5  16:35    329
 06   15.5   23.7  14:31    8.3  06:31    2.8    0.0   0.00    1.1   20.9  14:08    168
 07   15.9   22.4  14:26   10.3  03:06    2.4    0.0   0.00    0.9   14.5  10:35    148
 08   19.3   26.1  14:15   14.3  04:41    0.0    1.0   0.02    0.5   11.3  15:28    158
 09   18.7   26.6  14:04   12.8  07:33    0.0    0.4   0.00    0.4    9.7  12:44    148
 10   20.6   24.2  14:33   19.1  06:55    0.0    2.3   0.00    0.3   11.3  14:29    155
 11   15.3   21.3  00:13    7.6  23:55    3.0    0.0   0.00    5.3   29.0  15:48      9
 12   12.3   20.2  16:34    5.7  06:49    6.0    0.0   0.00    0.7   16.1  15:59     29
 13   14.0   19.9  16:50    6.7  04:41    4.3    0.0   0.00    1.2   19.3  14:48    141
 14   18.7   22.2  16:12   13.1  23:59    0.0    0.3   0.00    1.3   14.5  02:49    302
 15   11.2   16.3  15:33    5.5  07:29    7.2    0.0   0.00    2.5   22.5  15:22     14
 16   11.5   18.4  16:23    3.6  07:32    6.9    0.0   0.00    1.8   29.0  15:36    156
 17   18.2   23.2  15:04   14.3  22:54    0.2    0.0   0.00    2.7   27.4  12:54    161
 18   14.1   17.9  14:06   10.2  23:40    4.2    0.0   0.00    2.8   17.7  20:57     37
 19   10.8   15.7  16:45    4.1  23:43    7.5    0.0   0.06    5.9   29.0  12:38     20
 20    7.8   14.9  16:15    1.8  06:53   10.5    0.0   0.00    2.4   20.9  14:49      4
 21    8.3   16.0  16:23    1.8  04:43   10.0    0.0   0.00    1.2   16.1  10:56     30
 22    9.8   15.1  23:47    6.1  00:00    8.6    0.0   1.62    6.7   37.0  17:14     33
 23   14.1   17.7  00:42   11.8  13:04    4.2    0.0   2.92    4.5   33.8  11:50    354
 24   15.2   22.7  16:59    9.5  06:33    3.1    0.0   0.00    0.8   17.7  16:11    314
 25   12.8   21.4  16:34    6.8  23:59    5.5    0.0   0.00    0.5   11.3  14:23    331
 26   11.5   19.0  13:31    3.7  07:01    6.9    0.0   0.00    0.8   14.5  15:00    140
 27   16.9   21.2  15:00   14.4  00:00    1.4    0.0   0.02    0.8    9.7  12:22    143
 28   19.0   23.3  14:41   17.1  06:58    0.0    0.7   0.00    1.0   16.1  01:17    153
 29   19.2   22.4  12:53   17.6  23:16    0.0    0.9   0.00    1.4   19.3  15:00    144
 30   18.6   20.0  19:34   16.9  23:56    0.0    0.3   0.44    2.7   32.2  18:10    146
---------------------------------------------------------------------------------------
      15.1   26.6     09    1.8     20  104.3    7.9   6.52    1.9   37.0     22     47
    
