                   MONTHLY CLIMATOLOGICAL SUMMARY for Oct 2020


NAME: Lake Echo, Nova Scotia                  
ELEV: 26 meters    LAT: 44-44.28 N    LONG: 063-22.66 W


                   TEMPERATURE (C), RAIN (cm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   16.1   20.9  12:42   11.2  07:59    2.3    0.0   0.02    0.9   17.7  11:33    160
 02   14.6   18.2  13:58   11.2  01:38    3.7    0.0   0.14    0.3    8.0  10:39    138
 03   13.9   18.4  16:52    8.9  21:59    4.4    0.0   0.08    1.5   16.1  13:03    349
 04   11.9   18.9  14:53    7.6  02:58    6.5    0.0   0.00    0.6   11.3  15:22      7
 05   10.4   13.6  15:18    6.8  23:48    8.0    0.0   0.88    0.1    4.8  10:58     18
 06   10.8   16.4  13:26    3.9  07:48    7.6    0.0   0.04    0.7   14.5  15:08    147
 07   14.6   17.1  16:50   12.4  08:07    3.7    0.0   0.46    1.4   22.5  16:54    149
 08   12.1   15.6  00:02    6.9  23:58    6.2    0.0   0.62    5.4   30.6  11:36    317
 09    6.9   10.2  16:51    4.2  07:09   11.4    0.0   0.00    4.7   33.8  08:27    325
 10   12.3   18.1  15:49    5.3  00:20    6.1    0.0   0.00    4.0   37.0  15:28    165
 11   10.9   16.4  02:33   -0.2  23:58    7.4    0.0   0.16    5.3   35.4  01:49    348
 12    3.5   11.0  14:01   -1.4  06:43   14.8    0.0   0.00    0.6   14.5  14:10     33
 13    8.3   13.7  14:54    0.2  01:43   10.0    0.0   0.00    2.0   19.3  15:18    122
 14   14.5   16.8  11:35   10.7  23:59    3.9    0.0   3.02    3.4   29.0  09:32    143
 15   10.2   17.7  15:18    3.7  07:21    8.1    0.0   0.00    0.5   14.5  15:19    165
 16   10.3   17.8  15:39    4.7  07:46    8.1    0.0   0.02    0.7   16.1  12:23    153
 17   12.0   17.7  17:00    5.6  02:51    6.3    0.0   0.84    2.3   27.4  17:50    154
 18    7.3   16.6  16:24    0.6  07:54   11.0    0.0   0.00    2.2   20.9  13:15     11
 19   11.3   15.4  14:47    4.5  00:00    7.1    0.0   0.02    0.3    6.4  09:50     18
 20   15.1   18.6  16:10   12.8  22:07    3.3    0.0   0.04    0.7   19.3  15:02    166
 21   13.2   15.6  23:36   12.3  12:40    5.2    0.0   0.84    0.9   12.9  16:20    109
 22   15.3   19.6  16:43    8.3  23:55    3.1    0.0   0.06    1.9   17.7  12:07    348
 23    9.1   13.7  12:37    5.3  07:29    9.2    0.0   0.00    1.4   12.9  11:53    107
 24   10.1   13.3  16:33    6.1  04:45    8.2    0.0   0.04    1.6   22.5  23:38    360
 25    6.9   12.1  02:22   -1.3  23:26   11.5    0.0   0.00    6.6   32.2  03:23    343
 26    4.8   10.7  15:07   -1.7  03:01   13.5    0.0   0.04    1.1   12.9  17:46    119
 27    8.9   14.2  07:04    3.1  22:38    9.4    0.0   0.06    4.0   24.1  10:49    339
 28    2.7    6.0  14:42   -1.2  08:01   15.7    0.0   0.00    1.8   17.7  10:25    341
 29    5.5   10.1  15:52    0.3  03:42   12.8    0.0   0.02    0.8   11.3  13:29    314
 30    2.8    5.3  00:17    1.9  05:25   15.5    0.0   0.12    8.8   33.8  09:40     23
 31    1.6    6.2  16:33   -3.6  23:59   16.7    0.0   0.00    4.2   29.0  12:21    335
---------------------------------------------------------------------------------------
       9.9   20.9     01   -3.6     31  260.4    0.0   7.52    2.3   37.0     10    359
    
