                   MONTHLY CLIMATOLOGICAL SUMMARY for Dec 2020


NAME: Lake Echo, Nova Scotia                  
ELEV: 26 meters    LAT: 44-44.28 N    LONG: 063-22.66 W


                   TEMPERATURE (C), RAIN (cm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   13.1   14.7  19:35   10.7  00:03    5.2    0.0   0.10    8.6   37.0  05:49    140
 02   10.7   14.1  02:58    6.2  21:37    7.7    0.0   0.70    1.8   29.0  00:05    148
 03    4.2    8.4  01:44   -2.0  23:23   14.2    0.0   0.00    1.7   25.7  11:04    283
 04    6.4   11.2  13:05   -2.2  00:38   11.9    0.0   0.02    1.8   25.7  13:27    196
 05   10.3   12.6  23:22    7.7  08:08    8.1    0.0   1.30    3.4   38.6  23:43    143
 06    7.0   13.4  01:01    3.4  23:51   11.4    0.0   0.20    7.2   41.8  09:48    193
 07    1.9    4.0  13:28   -0.4  23:58   16.4    0.0   0.00    3.6   27.4  11:43    288
 08    0.9    3.1  14:52   -1.5  02:32   17.4    0.0   0.00    7.2   30.6  14:41      0
 09    0.8    3.4  14:06   -1.1  06:22   17.5    0.0   0.00    2.5   19.3  00:48    322
 10    0.5    2.1  14:48   -1.1  22:42   17.9    0.0   0.24    4.3   25.7  20:28    345
 11    0.7    3.6  14:27   -0.8  04:05   17.7    0.0   0.00    2.8   24.1  03:33    326
 12    2.5    4.3  07:35    0.1  20:26   15.8    0.0   0.14    2.8   19.3  11:32      1
 13    7.3   10.8  13:58    1.1  00:00   11.0    0.0   1.08    1.5   25.7  04:48    124
 14    4.6    8.9  00:07    1.2  22:48   13.8    0.0   0.12    1.4   14.5  10:09    326
 15   -1.7    1.6  03:53   -7.8  23:55   20.1    0.0   0.02    8.4   38.6  17:30    315
 16   -7.2   -3.5  14:14   -9.1  04:26   25.5    0.0   0.00    6.9   33.8  00:39    322
 17   -5.7   -2.6  14:29   -9.6  04:41   24.1    0.0   0.00    6.7   30.6  21:35     23
 18   -0.3    1.6  13:42   -2.7  00:00   18.6    0.0   0.14   11.3   33.8  04:17     11
 19   -0.0    1.4  12:55   -1.0  23:47   18.4    0.0   0.00    8.0   30.6  00:07    360
 20   -0.8    2.7  13:49   -3.2  07:48   19.1    0.0   0.00    0.3   11.3  13:20    259
 21    5.6    8.9  19:48   -0.3  00:00   12.8    0.0   1.36    0.5   16.1  05:37    123
 22    2.6    6.9  01:20   -1.8  23:59   15.7    0.0   0.18    3.2   27.4  14:40    316
 23   -2.4    0.6  09:16   -8.4  23:57   20.8    0.0   0.00    4.5   32.2  12:59    330
 24    0.5    8.9  22:58   -9.2  03:28   17.9    0.0   0.00    1.5   22.5  10:47    167
 25   11.3   13.4  13:00    7.8  00:37    7.0    0.0   0.00    8.5   38.6  11:44    144
 26    8.0   13.5  11:50    0.3  18:03   10.3    0.0   0.58    7.6   49.9  12:30    145
 27    0.2    3.4  15:04   -5.3  23:44   18.1    0.0   0.04    2.2   22.5  04:06    290
 28   -0.0    6.7  22:14   -7.0  07:44   18.3    0.0   0.12    1.6   25.7  20:37    140
 29    3.6    7.7  10:29   -5.8  23:57   14.7    0.0   0.60    4.8   37.0  22:13    322
 30   -4.6   -1.0  14:41   -6.6  20:09   23.0    0.0   0.00    5.1   27.4  10:37    317
 31    4.3    9.1  11:15   -3.5  00:00   14.1    0.0   0.40    4.0   38.6  09:10    229
---------------------------------------------------------------------------------------
       2.7   14.7     01   -9.6     17  484.3    0.0   7.34    4.4   49.9     26    343
    
