                   MONTHLY CLIMATOLOGICAL SUMMARY for May 2021


NAME: Lake Echo, Nova Scotia                  
ELEV: 26 meters    LAT: 44-44.28 N    LONG: 063-22.66 W


                   TEMPERATURE (C), RAIN (cm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01    7.2   12.1  19:48    2.8  06:00   11.1    0.0   0.12    6.8   37.0  12:09    319
 02    7.1   12.7  18:07    1.3  03:29   11.2    0.0   0.00    2.0   25.7  10:54    221
 03    9.4   16.6  17:15    2.4  04:17    9.0    0.0   0.00    4.5   27.4  16:41    316
 04    8.5   17.7  13:13    1.0  06:06    9.9    0.0   0.00    1.6   17.7  13:19    171
 05    7.0   11.9  12:13    3.3  05:44   11.3    0.0   0.06    2.3   20.9  14:30    122
 06    6.6    9.0  18:01    4.2  02:46   11.7    0.0   1.00    5.9   27.4  18:27    345
 07    7.5   13.7  17:47    0.8  06:35   10.8    0.0   0.00    4.8   27.4  14:51    346
 08    3.6    5.6  09:57    0.6  01:48   14.7    0.0   1.54    8.6   41.8  19:06     12
 09    7.2   12.6  15:54    1.6  00:34   11.1    0.0   0.20    6.2   33.8  13:06    317
 10    7.8   15.3  15:17    1.2  05:56   10.5    0.0   0.00    1.0   14.5  13:28    165
 11    8.6   17.2  11:10    1.0  06:27    9.7    0.0   0.18    1.4   20.9  17:40     60
 12    7.2   10.9  15:04    1.6  23:58   11.1    0.0   0.14    3.7   22.5  14:34    347
 13    9.1   17.1  18:46    0.8  06:38    9.2    0.0   0.02    3.0   29.0  14:14    336
 14   10.6   18.0  14:05    3.2  05:13    7.7    0.0   0.00    1.8   20.9  15:29    131
 15    9.2   15.8  12:51    1.1  05:55    9.1    0.0   0.00    2.0   20.9  13:00    186
 16   10.3   18.2  16:37    2.6  02:29    8.0    0.0   0.00    1.8   20.9  15:33    150
 17    9.8   15.7  15:31    4.0  05:19    8.6    0.0   0.00    2.1   19.3  13:32    146
 18   11.6   20.4  12:06    3.2  05:38    6.7    0.0   0.36    1.3   22.5  13:06    206
 19   11.0   14.4  16:22    8.4  06:11    7.3    0.0   0.00    5.7   25.7  07:59    358
 20   10.9   15.7  14:01    5.9  23:28    7.4    0.0   0.00    1.7   16.1  14:37    135
 21   11.0   18.3  12:26    5.6  04:37    7.3    0.0   0.00    2.0   19.3  14:33    147
 22   10.6   14.9  12:51    8.4  04:43    7.8    0.0   0.34    1.6   16.1  12:14    149
 23   12.6   20.3  11:27    6.4  23:49    5.7    0.0   0.52    6.2   41.8  18:38      7
 24    8.9   16.4  17:59    3.9  06:03    9.4    0.0   0.00    5.7   35.4  08:14    352
 25   10.6   17.3  16:17    1.8  03:52    7.8    0.0   0.00    3.8   29.0  12:49    206
 26   15.1   22.9  15:18    9.3  05:59    3.3    0.0   0.00    2.8   20.9  21:43    171
 27   15.8   23.8  16:45    9.8  23:58    2.5    0.0   0.14    2.7   20.9  03:27     53
 28    9.3   14.3  14:40    2.6  06:23    9.0    0.0   0.00    3.3   24.1  14:27    340
 29    5.9    9.4  10:58    4.3  02:34   12.5    0.0   0.80    1.5   12.9  11:24     98
 30    8.5   12.8  14:06    4.8  00:00    9.9    0.0   0.02    3.0   20.9  17:59     57
 31   10.5   14.2  16:10    6.4  00:29    7.8    0.0   1.46    1.6   16.1  00:03    131
---------------------------------------------------------------------------------------
       9.3   23.8     27    0.6     08  279.2    0.0   6.90    3.3   41.8     08    349
    
