                   MONTHLY CLIMATOLOGICAL SUMMARY for Jun 2008


NAME: Federal Way, Washington                  
ELEV: 365 feet    LAT: 47-18.60 N    LONG: 122-21.60 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   54.9   62.8  16:14   50.9  02:24   10.1    0.0   0.00    0.7    5.0  02:44     22
 02   55.6   66.0  16:28   49.6  05:04    9.4    0.0   0.00    1.0   21.0  15:04      0
 03   54.8   69.4  18:14   50.4  23:54   10.2    0.0   0.00    1.4   22.0  16:14    N/A
 04   52.6   64.0  14:58   46.0  05:44   12.4    0.0   0.00    0.4   19.0  15:54    N/A
 05   51.6   55.8  16:14   47.5  22:54   13.4    0.0   0.00    0.7    9.0  19:14    N/A
 06   50.9   63.3  19:14   46.6  03:14   14.1    0.0   0.00    0.9   12.0  10:54    N/A
 07   53.4   60.3  13:54   49.3  05:24   11.6    0.0   0.00    0.3    6.0  22:34    N/A
 08   53.4   64.9  17:18   48.0  05:44   11.6    0.0   0.00    0.2   15.0  13:44    N/A
 09   51.5   59.4  15:34   43.7  23:44   13.5    0.0   0.00    1.8   16.0  17:04      0
 10   51.2   61.9  16:00   43.3  00:54   13.8    0.0   0.00    0.6   22.0  17:56      0
 11   52.7   58.1  16:04   48.2  06:14   12.3    0.0   0.00    0.8   22.0  15:04      0
 12   56.1   87.6  18:59   49.1  05:04    8.9    0.0   0.00    0.4   22.0  20:36     22
 13   54.8   78.4  19:08   47.7  06:04   10.2    0.0   0.00    0.3    7.0  20:04     22
 14   56.2   87.6  18:54   47.5  05:14    8.8    0.0   0.00    0.2    5.0  19:24     26
 15   59.6   88.7  18:24   46.2  06:04    5.4    0.0   0.00    0.4    6.0  18:14     16
 16   57.4   74.8  18:54   44.2  05:24    7.6    0.0   0.00    0.4    6.0  22:34     22
 17   57.0   77.2  18:14   48.7  02:04    8.0    0.0   0.00    1.7   22.0  11:34      0
 18   56.7   84.2  18:44   49.1  23:54    8.3    0.0   0.00    0.4    6.0  18:24     15
 19   59.7   89.8  18:34   47.1  01:47    5.3    0.0   0.00    0.5   20.0  09:34     20
 20   62.7   83.8  19:24   50.7  04:44    2.3    0.0   0.00    0.3   20.0  09:14     27
 21   66.6   85.3  19:04   55.6  05:34    0.0    1.6   0.00    1.0   22.0  13:14     19
 22   60.3   75.9  18:24   54.5  05:24    4.7    0.0   0.00    0.3    5.0  18:14     27
 23   57.3   72.9  17:28   43.7  05:04    7.7    0.0   0.00    0.2    4.0  11:14      0
 24   59.3   86.7  18:44   43.7  04:34    5.7    0.0   0.00    0.6   22.0  09:54     24
 25   61.9   78.9  19:24   50.4  05:04    3.1    0.0   0.00    0.5    5.0  22:24     32
 26   58.7   84.9  18:54   47.8  03:54    6.3    0.0   0.00    1.1    6.0  02:14     22
 27   64.0   83.9  18:20   52.5  04:54    1.0    0.0   0.00    1.0   11.0  18:40     23
 28   70.7   85.8  18:30   58.6  05:44    0.0    5.7   0.00    0.8   14.0  09:04     26
 29   74.3   89.5  17:30   61.2  04:54    0.0    9.3   0.00    0.2    6.0  21:04     22
 30   69.0   85.9  18:26   58.1  23:54    0.0    4.0   0.00    0.7   22.0  10:54     10
---------------------------------------------------------------------------------------
      57.8   89.8     19   43.3     10  225.7   20.6   0.00    0.7   22.0     03     20
    
