                   MONTHLY CLIMATOLOGICAL SUMMARY for Sep 2008


NAME: Federal Way, Washington                  
ELEV: 365 feet    LAT: 47-18.60 N    LONG: 122-21.60 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   56.7   69.3  16:47   45.5  03:17    8.3    0.0   0.00    0.7    6.7  12:47     43
 02   55.6   70.3  17:37   45.0  06:07    9.4    0.0   0.00    0.2    5.8  11:47     30
 03   56.9   69.3  17:07   46.9  06:37    8.1    0.0   0.00    0.2    9.2  17:17     18
 04   59.6   72.0  17:00   52.0  05:27    5.4    0.0   0.00    0.1    6.3  17:27     13
 05   58.0   75.0  17:37   50.2  06:37    7.0    0.0   0.00    0.4    5.6  17:47     21
 06   59.8   72.0  17:17   54.9  05:57    5.2    0.0   0.00    0.4    8.7  17:57     27
 07   61.5   73.8  16:54   53.8  01:57    3.5    0.0   0.00    0.6    6.7  19:07     35
 08   61.9   75.0  16:54   52.7  05:57    3.1    0.0   0.00    0.8   13.0  17:27     22
 09   58.3   70.5  16:40   52.0  05:37    6.7    0.0   0.00    0.5    7.8  19:47     23
 10   55.4   71.2  17:17   45.0  06:47    9.6    0.0   0.00    0.1    4.0  10:27     22
 11   58.6   73.0  16:57   49.1  06:47    6.4    0.0   0.00    0.2    5.1  17:27     15
 12   58.6   73.4  17:17   49.6  06:37    6.4    0.0   0.00    0.3    6.0  20:37     22
 13   57.1   71.2  16:57   48.4  05:07    7.9    0.0   0.00    0.2    5.1  11:07     22
 14   58.4   73.6  17:07   49.6  06:47    6.6    0.0   0.00    0.4    6.7  17:57     23
 15   58.1   76.3  17:21   50.7  05:17    6.9    0.0   0.00    0.3    5.4  09:57     26
 16   59.7   75.9  16:57   50.7  05:57    5.3    0.0   0.00    0.3    5.4  18:07     21
 17   58.8   75.9  17:17   51.8  07:17    6.2    0.0   0.00    0.4    4.9  19:57      0
 18   57.4   61.5  13:37   54.7  07:47    7.6    0.0   0.00    0.1    3.4  00:13    N/A
 19   57.7   62.6  17:27   54.9  07:17    7.3    0.0   0.00    0.1    4.0  12:27     22
 20   55.2   56.8  00:17   54.3  07:07    9.8    0.0   0.00    0.0    3.6  15:17     22
 21   57.7   67.5  15:14   53.8  05:57    7.3    0.0   0.00    0.2    5.8  04:47    N/A
 22   53.4   63.9  17:14   47.7  23:57   11.6    0.0   0.00    1.2    7.2  05:37    N/A
 23   48.8   60.4  16:37   37.6  06:57   16.2    0.0   0.00    0.1    4.9  10:37     12
 24   55.1   62.8  11:57   49.8  07:07    9.9    0.0   0.00    0.1    5.1  13:07     22
 25   57.3   62.6  13:37   53.4  06:17    7.7    0.0   0.00    1.0   10.1  12:57    N/A
 26   57.2   69.3  18:08   54.7  06:27    7.8    0.0   0.00    0.2   22.1  18:17    N/A
 27   55.0   65.3  17:40   50.2  07:27   10.0    0.0   0.00    0.1    4.9  18:07     22
 28   54.7   65.5  17:24   49.5  03:37   10.3    0.0   0.00    0.8    8.9  18:27     24
 29   56.3   70.2  17:10   48.2  05:07    8.7    0.0   0.00    0.5    7.2  21:07     29
 30   58.7   72.0  16:57   49.6  07:17    6.3    0.0   0.00    0.1    6.0  11:17     29
---------------------------------------------------------------------------------------
      57.2   76.3     15   37.6     23  232.3    0.0   0.00    0.3   22.1     26     23
    
