                   MONTHLY CLIMATOLOGICAL SUMMARY for May 2011


NAME: Federal Way, Washington                  
ELEV: 365 feet    LAT: 47-18.60 N    LONG: 122-21.60 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   50.1   62.7  16:25   35.4  06:10   14.9    0.0   0.00    0.5    8.0  10:40      3
 02   48.0   53.3  16:55   43.2  23:45   17.0    0.0   0.21    2.0   19.0  17:15    236
 03   50.0   61.1  15:20   42.9  01:05   15.0    0.0   0.00    1.2   12.0  00:50    230
 04   51.3   61.6  16:00   39.8  06:05   13.7    0.0   0.00    0.6   11.0  14:15     28
 05   50.3   58.9  15:35   45.1  07:40   14.7    0.0   0.04    1.2   13.0  13:35    231
 06   48.4   54.4  13:20   45.6  23:25   16.6    0.0   0.27    1.0   10.0  10:20    220
 07   48.5   55.9  15:50   44.5  00:00   16.5    0.0   0.10    1.9   16.0  10:45    216
 08   49.2   58.4  14:45   43.1  01:15   15.8    0.0   0.00    0.4   10.0  17:05    332
 09   51.7   58.2  14:20   46.8  06:45   13.3    0.0   0.00    0.2    7.0  14:40    281
 10   52.2   61.9  17:15   46.4  05:50   12.8    0.0   0.00    0.4    7.0  11:50    233
 11   47.6   52.1  13:55   41.5  00:00   17.4    0.0   0.46    0.8   13.0  16:15    227
 12   48.5   61.3  17:05   37.6  06:05   16.5    0.0   0.01    0.6   15.0  17:25    248
 13   51.3   60.5  13:50   39.1  05:35   13.7    0.0   0.00    1.3   18.0  14:50      6
 14   55.0   64.1  15:20   45.8  06:00   10.0    0.0   0.94    0.9   18.0  11:50    358
 15   49.4   51.2  15:10   46.9  00:00   15.6    0.0   0.86    1.1   15.0  14:35    231
 16   50.2   58.4  15:45   43.3  23:55   14.8    0.0   0.00    2.0   20.0  13:45    233
 17   50.3   60.8  15:25   36.3  05:55   14.7    0.0   0.00    0.9   14.0  17:25    359
 18   55.9   65.2  16:20   43.8  06:20    9.1    0.0   0.00    0.9   14.0  15:25      7
 19   55.5   66.8  16:00   39.9  05:35    9.5    0.0   0.00    0.5   13.0  16:05    352
 20   57.4   72.9  15:50   42.1  05:10    7.6    0.0   0.00    0.3    7.0  12:10    337
 21   50.9   54.2  15:25   47.4  03:40   14.1    0.0   0.09    0.2    6.0  23:30    212
 22   52.8   60.9  14:40   46.3  05:45   12.2    0.0   0.00    0.7   13.0  14:15    239
 23   52.8   62.7  16:30   41.9  05:55   12.2    0.0   0.00    0.4   10.0  15:30    338
 24   55.4   64.2  16:30   46.4  04:05    9.6    0.0   0.01    0.6    9.0  17:30    247
 25   51.5   54.0  16:25   46.4  00:00   13.5    0.0   0.40    0.4   12.0  18:10    226
 26   50.6   61.4  15:05   44.0  05:35   14.4    0.0   0.05    1.6   20.0  13:30    219
 27   50.0   56.7  14:10   45.6  23:50   15.0    0.0   0.07    2.2   17.0  15:05    209
 28   52.0   61.1  16:20   44.6  06:00   13.0    0.0   0.00    0.8   12.0  18:20    326
 29   53.4   60.1  14:25   49.6  05:00   11.6    0.0   0.00    0.8   11.0  15:50    217
 30   54.7   63.3  17:30   48.6  05:40   10.3    0.0   0.00    0.7    9.0  02:05    231
 31   53.8   61.8  17:40   47.7  04:30   11.2    0.0   0.18    0.3    9.0  23:45    267
---------------------------------------------------------------------------------------
      51.6   72.9     20   35.4     01  416.3    0.0   3.69    0.9   20.0     16    244
    
