                   MONTHLY CLIMATOLOGICAL SUMMARY for Dec 2012


NAME: Federal Way, Washington                  
ELEV: 365 feet    LAT: 47-18.60 N    LONG: 122-21.60 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   49.3   55.7  13:25   45.7  07:50   15.7    0.0   0.15    3.4   23.0  11:35    202
 02   45.2   47.1  00:10   43.6  11:45   19.8    0.0   0.37    3.3   24.0  11:05    206
 03   46.1   48.9  20:35   43.7  06:00   18.9    0.0   0.36    2.3   21.0  02:25    203
 04   48.1   52.0  05:35   43.8  00:00   16.9    0.0   0.49    2.8   20.0  22:00    217
 05   42.6   47.1  12:00   39.2  06:05   22.4    0.0   0.07    1.9   15.0  01:45    216
 06   42.4   43.0  09:00   41.1  21:55   22.6    0.0   0.16    2.4   20.0  16:35    211
 07   42.2   45.6  11:55   38.4  22:55   22.8    0.0   0.10    2.3   21.0  08:40    229
 08   39.4   43.9  13:40   37.4  01:55   25.6    0.0   0.00    0.4   11.0  04:50    209
 09   40.0   43.1  23:30   37.6  00:40   25.0    0.0   0.11    0.1    6.0  12:00    199
 10   42.8   43.7  15:10   41.1  23:55   22.2    0.0   0.03    0.2    7.0  21:15    211
 11   42.4   45.2  13:10   40.1  02:55   22.6    0.0   0.15    2.3   14.0  04:25    210
 12   41.3   44.0  14:20   39.6  07:10   23.7    0.0   0.20    0.5   11.0  02:10    217
 13   40.4   44.7  11:45   37.1  08:35   24.6    0.0   0.10    0.8   10.0  13:15    202
 14   38.1   40.6  14:45   33.2  00:00   26.9    0.0   0.27    0.2    6.0  13:15    178
 15   36.5   40.0  10:00   31.6  02:55   28.5    0.0   0.12    2.2   18.0  10:05    205
 16   38.9   43.6  00:00   36.3  02:45   26.1    0.0   0.61    2.6   22.0  20:15    206
 17   39.9   46.1  01:45   33.2  23:55   25.1    0.0   0.08    5.2   32.0  11:50    233
 18   34.4   38.0  14:20   32.6  03:30   30.6    0.0   0.07    2.4   15.0  13:00    211
 19   40.8   46.8  13:50   35.0  00:05   24.2    0.0   0.54    4.6   21.0  12:20    202
 20   39.6   45.1  03:50   31.2  23:50   25.4    0.0   0.31    1.8   19.0  13:05    204
 21   36.8   45.9  14:35   29.7  03:50   28.2    0.0   0.03    0.1   10.0  06:45    170
 22   41.2   46.8  15:05   37.7  04:25   23.8    0.0   0.15    1.1   17.0  16:30    205
 23   40.6   43.2  04:35   36.6  21:50   24.4    0.0   0.22    0.5    9.0  03:00    201
 24   39.1   42.0  13:35   36.8  23:50   25.9    0.0   0.01    0.4    9.0  01:30    213
 25   37.7   40.2  14:50   35.6  02:45   27.3    0.0   0.42    0.2    6.0  08:10    169
 26   40.4   44.1  13:15   37.3  08:35   24.6    0.0   0.17    2.2   15.0  19:25    204
 27   41.2   45.1  14:45   37.4  22:05   23.8    0.0   0.03    1.1   14.0  00:10    216
 28   40.3   46.3  14:05   37.4  08:10   24.7    0.0   0.00    0.0    4.0  02:50    N/A
 29   38.3   41.7  12:40   36.9  08:30   26.7    0.0   0.06    0.0    4.0  11:05    194
 30   35.6   39.4  13:05   30.1  23:55   29.4    0.0   0.00    0.0    3.0  13:40     45
 31   32.9   37.8  14:40   28.8  05:40   32.1    0.0   0.01    0.1    7.0  20:50     51
---------------------------------------------------------------------------------------
      40.5   55.7     01   28.8     31  760.5    0.0   5.39    1.5   32.0     17    211
    
