                   MONTHLY CLIMATOLOGICAL SUMMARY for Jan 2013


NAME: Federal Way, Washington                  
ELEV: 365 feet    LAT: 47-18.60 N    LONG: 122-21.60 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   32.8   40.2  13:15   25.8  07:40   32.2    0.0   0.00    0.1    9.0  12:15      5
 02   32.1   44.6  14:55   25.6  08:20   32.9    0.0   0.01    0.0    5.0  12:05    257
 03   33.3   44.6  14:05   25.1  07:40   31.7    0.0   0.14    0.1    6.0  14:45    246
 04   42.6   51.5  13:45   35.1  00:05   22.4    0.0   0.16    0.4   12.0  10:35    231
 05   40.8   43.4  14:55   39.4  23:40   24.2    0.0   0.07    0.4   10.0  11:20    199
 06   41.7   45.3  15:00   37.8  01:35   23.3    0.0   0.10    1.4   12.0  18:15    206
 07   45.5   48.6  15:05   40.5  00:45   19.5    0.0   0.16    3.9   24.0  15:35    217
 08   46.8   52.7  18:30   40.9  09:30   18.2    0.0   0.26    2.9   28.0  19:15    207
 09   39.7   50.0  00:05   34.4  22:20   25.3    0.0   0.90    2.5   18.0  01:00    218
 10   35.1   38.0  12:30   32.1  23:55   29.9    0.0   0.03    0.2    8.0  12:00    223
 11   30.6   36.8  13:45   26.3  23:35   34.4    0.0   0.01    0.2   11.0  10:55    353
 12   28.7   37.1  13:05   23.2  05:50   36.3    0.0   0.00    0.1    7.0  14:50     45
 13   27.8   35.9  12:00   21.6  05:45   37.2    0.0   0.00    0.0    5.0  12:30    245
 14   30.9   38.3  13:35   24.3  05:10   34.1    0.0   0.01    0.0    4.0  13:00    216
 15   35.7   43.3  13:00   30.3  23:45   29.3    0.0   0.00    0.2    9.0  13:30      1
 16   32.4   41.0  14:25   25.7  08:10   32.6    0.0   0.00    0.1    6.0  11:55    354
 17   32.6   40.2  13:30   26.8  08:05   32.4    0.0   0.01    0.1    7.0  13:55    253
 18   32.8   36.6  15:45   28.7  03:05   32.2    0.0   0.00    0.1    6.0  16:45    139
 19   32.5   34.8  14:30   31.1  07:50   32.5    0.0   0.00    0.1    6.0  20:25     44
 20   33.2   37.1  15:40   30.9  05:20   31.8    0.0   0.00    0.1    4.0  06:05     88
 21   32.0   34.3  12:50   28.7  23:25   33.0    0.0   0.00    0.3    5.0  02:10    194
 22   32.1   36.1  15:25   28.0  01:20   32.9    0.0   0.01    0.1    4.0  23:00    198
 23   39.5   41.3  10:20   35.2  00:35   25.5    0.0   0.15    1.2   13.0  17:45    210
 24   40.2   44.8  13:05   34.6  08:25   24.8    0.0   0.16    0.6    9.0  00:50    203
 25   45.1   53.9  13:15   37.6  23:10   19.9    0.0   0.08    0.2    7.0  13:35    245
 26   41.3   46.7  13:25   37.9  03:35   23.7    0.0   0.04    1.9   15.0  10:05    220
 27   39.3   40.4  00:25   38.2  22:50   25.7    0.0   0.12    1.9   16.0  11:25    211
 28   40.2   42.1  17:30   38.1  00:10   24.8    0.0   0.19    1.2   18.0  17:15    219
 29   43.8   46.2  17:00   40.8  00:05   21.2    0.0   0.11    1.7   19.0  19:35    210
 30   45.8   47.4  15:50   44.1  00:05   19.2    0.0   0.08    1.8   15.0  00:30    209
 31   46.4   48.7  14:30   44.2  07:20   18.6    0.0   0.14    1.2   13.0  13:45    219
---------------------------------------------------------------------------------------
      37.2   53.9     25   21.6     13  861.6    0.0   2.94    0.8   28.0     08    214
    
