                   MONTHLY CLIMATOLOGICAL SUMMARY for Apr 2013


NAME: Federal Way, Washington                  
ELEV: 365 feet    LAT: 47-18.60 N    LONG: 122-21.60 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   52.8   64.5  17:15   46.4  02:25   12.2    0.0   0.00    0.9   12.0  14:40    249
 02   50.9   55.9  16:55   47.0  06:40   14.1    0.0   0.00    0.1    6.0  00:40    243
 03   52.0   60.5  14:15   43.2  07:10   13.0    0.0   0.00    0.2    7.0  11:45    352
 04   50.8   56.7  19:35   47.3  08:10   14.2    0.0   0.15    1.0   13.0  17:45    207
 05   51.5   57.7  15:00   47.6  23:35   13.5    0.0   0.67    2.5   21.0  14:10    228
 06   46.9   49.8  15:50   43.3  00:00   18.1    0.0   0.43    2.0   17.0  02:40    210
 07   42.4   48.1  16:05   38.4  07:20   22.6    0.0   0.97    1.1   12.0  05:00    256
 08   47.1   56.6  17:05   40.9  03:05   17.9    0.0   0.03    0.9   12.0  14:10    236
 09   47.8   55.1  15:45   39.9  03:00   17.2    0.0   0.00    0.2    7.0  15:30    233
 10   51.8   57.5  14:20   46.4  00:00   13.2    0.0   0.27    3.3   24.0  12:50    235
 11   46.8   53.1  16:00   43.0  00:00   18.2    0.0   0.00    1.1   11.0  04:15    215
 12   42.5   46.7  13:30   38.9  06:10   22.5    0.0   0.30    1.6   19.0  23:00    213
 13   42.0   48.7  17:10   37.1  04:50   23.0    0.0   0.02    3.3   28.0  00:30    232
 14   45.1   54.8  14:15   38.8  00:00   19.9    0.0   0.00    0.5   11.0  15:45    255
 15   44.1   55.0  15:35   36.9  02:55   20.9    0.0   0.04    0.5   20.0  20:10     18
 16   45.5   55.5  14:30   34.9  05:50   19.5    0.0   0.01    0.4   11.0  15:45     43
 17   48.1   61.6  16:05   36.0  06:25   16.9    0.0   0.00    0.9   14.0  15:25    244
 18   46.7   51.5  16:15   41.9  01:05   18.3    0.0   0.11    1.4   13.0  13:20    209
 19   50.1   55.1  16:25   47.9  00:00   14.9    0.0   0.70    2.5   18.0  18:55    222
 20   50.0   57.9  15:05   46.1  05:15   15.0    0.0   0.00    2.1   18.0  09:15    243
 21   46.4   53.3  13:00   42.0  23:25   18.6    0.0   0.02    1.0   12.0  10:10    223
 22   48.5   58.2  16:20   38.8  06:20   16.5    0.0   0.00    1.0   17.0  12:35    353
 23   49.0   61.8  15:40   34.0  06:20   16.0    0.0   0.00    0.6   19.0  17:05    341
 24   54.7   68.4  16:10   38.3  06:20   10.3    0.0   0.00    0.3   10.0  16:30    345
 25   57.9   72.3  16:20   41.5  06:30    7.1    0.0   0.00    0.2    8.0  14:15    325
 26   56.7   71.4  17:20   45.7  04:00    8.3    0.0   0.00    0.4    9.0  14:45    257
 27   53.2   56.3  00:35   50.2  22:05   11.8    0.0   0.00    1.6   16.0  06:05    232
 28   52.4   60.7  13:40   46.7  23:15   12.6    0.0   0.08    2.1   18.0  11:35    247
 29   48.9   57.0  16:10   41.5  00:00   16.1    0.0   0.01    2.6   20.0  16:15    248
 30   46.2   56.0  13:45   37.4  05:40   18.8    0.0   0.01    0.8   10.0  15:25    182
---------------------------------------------------------------------------------------
      49.0   72.3     25   34.0     23  481.0    0.0   3.82    1.2   28.0     13    235
    
