                   MONTHLY CLIMATOLOGICAL SUMMARY for Jul 2013


NAME: Federal Way, Washington                  
ELEV: 365 feet    LAT: 47-18.60 N    LONG: 122-21.60 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   75.1   88.4  18:15   62.4  05:40    0.0   10.1   0.00    0.2    8.0  13:20    331
 02   67.4   78.3  15:25   58.5  05:20    0.0    2.4   0.00    0.2    9.0  16:00    333
 03   66.9   78.2  15:40   58.0  06:30    0.0    1.9   0.00    0.3    8.0  11:35    353
 04   61.4   71.3  16:30   55.9  06:15    3.6    0.0   0.00    0.3    8.0  16:05    217
 05   63.4   74.2  17:05   55.2  05:30    1.6    0.0   0.00    0.3    8.0  15:50    266
 06   64.4   76.0  16:25   53.3  04:35    0.6    0.0   0.00    0.3   10.0  15:25    352
 07   63.3   75.0  16:50   55.4  05:40    1.7    0.0   0.00    0.4    8.0  15:20    247
 08   64.4   76.8  17:30   54.3  03:05    0.6    0.0   0.00    0.2    9.0  12:55    306
 09   69.0   82.9  15:40   56.4  05:40    0.0    4.0   0.00    0.3    9.0  11:25      2
 10   61.4   71.4  17:20   55.0  05:50    3.6    0.0   0.00    0.2    8.0  08:40    284
 11   58.8   70.8  16:10   49.3  05:25    6.2    0.0   0.00    0.5   10.0  17:30    244
 12   58.7   66.6  17:50   51.8  05:25    6.3    0.0   0.00    0.1    7.0  12:40    320
 13   61.9   74.3  16:20   47.3  05:40    3.1    0.0   0.00    0.5   14.0  15:15    341
 14   66.1   81.8  16:05   50.1  05:50    0.0    1.1   0.00    0.3    9.0  10:30    347
 15   66.9   76.8  16:10   54.0  06:10    0.0    1.9   0.00    0.9   16.0  14:10    352
 16   71.3   80.4  14:25   60.0  05:55    0.0    6.3   0.00    0.4   11.0  15:00      4
 17   64.3   70.7  17:50   57.4  00:00    0.7    0.0   0.01    0.5   11.0  12:05    253
 18   64.4   76.4  17:25   56.3  02:00    0.6    0.0   0.00    0.2    9.0  13:20    348
 19   64.2   78.9  17:30   53.1  06:10    0.8    0.0   0.00    0.2    8.0  16:00    334
 20   63.0   75.8  17:10   54.2  04:15    2.0    0.0   0.00    0.2    8.0  15:00    324
 21   62.4   76.4  17:30   54.1  05:55    2.6    0.0   0.00    0.2    8.0  13:20    285
 22   64.4   77.1  17:25   55.7  06:15    0.6    0.0   0.00    0.3    8.0  14:55    291
 23   67.0   82.9  16:05   53.9  06:30    0.0    2.0   0.00    0.4   12.0  13:40    351
 24   68.7   83.8  16:45   55.0  06:00    0.0    3.7   0.00    0.3   13.0  16:10    349
 25   67.2   84.0  16:00   51.9  06:05    0.0    2.2   0.00    0.2    9.0  14:15    344
 26   68.5   85.6  16:20   53.7  05:45    0.0    3.5   0.00    0.1    9.0  11:40    348
 27   64.6   77.0  16:30   51.4  06:10    0.4    0.0   0.00    0.3    9.0  08:25    289
 28   59.4   70.2  17:05   52.6  05:55    5.6    0.0   0.00    0.4    8.0  16:30    246
 29   64.0   75.5  16:55   55.3  00:25    1.0    0.0   0.00    0.1    9.0  14:00    344
 30   63.8   77.4  17:15   53.8  05:25    1.2    0.0   0.00    0.3   11.0  13:05    269
 31   61.4   69.7  16:50   55.7  07:00    3.6    0.0   0.00    0.1    9.0  22:35    319
---------------------------------------------------------------------------------------
      64.8   88.4     01   47.3     13   46.4   39.1   0.01    0.3   16.0     15    318
    
