                   MONTHLY CLIMATOLOGICAL SUMMARY for Feb 2014


NAME: Federal Way, Washington                  
ELEV: 365 feet    LAT: 47-18.60 N    LONG: 122-21.60 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   39.9   43.9  15:15   34.2  00:00   25.1    0.0   0.04    0.0    3.0  09:35     45
 02   36.0   46.6  14:35   27.4  07:40   29.0    0.0   0.02    0.2   10.0  21:50    286
 03   34.3   39.7  12:40   27.9  23:50   30.7    0.0   0.00    0.7   19.0  14:10     25
 04   28.9   33.9  12:45   23.4  05:05   36.1    0.0   0.00    0.9   15.0  22:05     63
 05   23.8   30.1  14:05   18.1  22:50   41.2    0.0   0.00    1.7   15.0  19:25     93
 06   22.5   27.1  13:50   17.9  02:15   42.5    0.0   0.00    0.7   13.0  15:45     64
 07   27.8   36.2  14:45   19.9  06:50   37.2    0.0   0.00    0.7   13.0  19:25     43
 08   32.0   39.2  14:00   27.6  22:30   33.0    0.0   0.00    0.9   13.0  17:40     53
 09   32.7   36.2  15:55   28.1  00:05   32.3    0.0   0.26    0.1    5.0  02:45    193
 10   40.8   48.3  15:45   33.4  02:25   24.2    0.0   0.57    1.8   20.0  17:50    207
 11   46.2   52.1  14:15   43.0  07:50   18.8    0.0   0.46    2.3   15.0  23:10    204
 12   49.2   54.5  14:45   43.3  22:40   15.8    0.0   0.20    3.6   34.0  04:05    235
 13   47.7   55.6  15:05   43.1  23:10   17.3    0.0   0.03    2.7   23.0  06:05    249
 14   46.5   52.8  12:45   40.7  00:00   18.5    0.0   0.35    2.7   26.0  13:15    230
 15   41.2   48.8  18:35   34.0  07:15   23.8    0.0   0.48    1.7   26.0  18:40    215
 16   41.4   46.8  14:00   36.4  03:50   23.6    0.0   0.97    4.4   25.0  18:00    211
 17   40.3   44.3  12:05   37.7  04:50   24.7    0.0   0.98    2.3   15.0  14:30    218
 18   41.9   45.1  09:05   37.6  23:45   23.1    0.0   0.58    3.7   25.0  17:40    221
 19   39.8   45.6  15:35   36.1  07:45   25.2    0.0   0.10    2.8   20.0  15:20    227
 20   43.2   48.4  14:50   39.3  23:50   21.8    0.0   0.11    3.6   24.0  10:15    229
 21   39.2   42.1  15:05   36.0  09:25   25.8    0.0   0.11    0.9   15.0  01:25    219
 22   37.2   40.4  11:50   34.8  07:30   27.8    0.0   0.06    1.1    9.0  17:35    207
 23   40.4   44.3  12:30   37.0  23:25   24.6    0.0   0.22    0.5    8.0  03:30    206
 24   39.0   41.8  14:35   36.8  02:40   26.0    0.0   0.44    0.1   10.0  22:45     19
 25   42.3   49.2  15:20   38.0  06:10   22.7    0.0   0.01    0.4   10.0  11:45    348
 26   46.0   58.0  15:20   38.0  03:30   19.0    0.0   0.00    0.1    6.0  10:05    344
 27   45.9   54.8  13:30   39.3  06:55   19.1    0.0   0.00    0.1    8.0  13:10    248
 28   45.6   53.4  12:55   41.0  02:50   19.4    0.0   0.00    0.9   16.0  13:25      7
---------------------------------------------------------------------------------------
      39.0   58.0     26   17.9     06  728.2    0.0   5.99    1.5   34.0     12    222
    
