                   MONTHLY CLIMATOLOGICAL SUMMARY for Nov 2014


NAME: Federal Way, Washington                  
ELEV: 365 feet    LAT: 47-18.60 N    LONG: 122-21.60 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   48.5   51.9  14:00   45.3  01:55   16.5    0.0   0.01    0.0    6.0  07:55    345
 02   50.2   55.9  11:40   43.8  05:15   14.8    0.0   0.05    1.1   10.0  11:40    203
 03   53.7   57.5  13:55   51.4  01:00   11.3    0.0   0.37    2.6   15.0  13:30    202
 04   54.4   60.0  14:00   51.7  22:30   10.6    0.0   0.10    1.2   13.0  00:50    215
 05   54.3   59.6  11:55   50.3  05:15   10.7    0.0   0.16    0.0    6.0  18:00    205
 06   54.7   61.6  11:25   49.6  00:00   10.3    0.0   0.31    2.6   20.0  10:50    224
 07   48.5   56.7  12:55   41.6  00:00   16.5    0.0   0.00    0.1    7.0  00:30    212
 08   44.9   54.4  14:05   36.9  06:30   20.1    0.0   0.00    0.1    7.0  11:50    334
 09   48.7   54.3  14:10   44.7  00:40   16.3    0.0   0.25    1.0   14.0  07:05    217
 10   46.1   52.6  13:40   40.6  21:40   18.9    0.0   0.00    0.2    9.0  11:15     45
 11   39.4   44.5  11:45   32.5  23:35   25.6    0.0   0.01    3.3   26.0  10:05     76
 12   35.4   44.3  13:35   30.5  06:45   29.6    0.0   0.00    1.5   19.0  03:05     81
 13   35.9   43.2  13:20   30.1  03:20   29.1    0.0   0.00    0.3   13.0  01:25     85
 14   35.7   45.3  13:35   27.4  06:25   29.3    0.0   0.00    0.3   12.0  14:50      6
 15   38.3   47.7  12:35   30.4  23:45   26.7    0.0   0.00    0.9   13.0  05:00     66
 16   37.3   47.7  12:35   26.6  07:35   27.7    0.0   0.00    0.1   11.0  11:50      4
 17   36.5   49.0  14:55   26.7  07:20   28.5    0.0   0.00    0.1    6.0  12:05    316
 18   35.9   44.6  13:50   28.8  07:45   29.1    0.0   0.00    0.0    4.0  10:45    240
 19   42.2   48.2  13:55   35.2  00:05   22.8    0.0   0.02    0.0    6.0  10:55    284
 20   46.4   51.1  14:40   41.2  05:20   18.6    0.0   0.15    0.0    4.0  05:25    205
 21   48.4   52.2  10:05   46.4  04:15   16.6    0.0   0.65    1.4   21.0  19:20    207
 22   45.4   49.7  15:15   43.1  09:20   19.6    0.0   0.14    1.9   14.0  00:30    217
 23   47.5   54.4  14:40   43.8  23:55   17.5    0.0   0.43    2.5   17.0  05:25    213
 24   44.2   52.4  23:40   37.8  06:25   20.8    0.0   0.07    1.1   18.0  23:20    205
 25   52.6   56.0  15:45   48.5  13:15   12.4    0.0   0.72    1.9   17.0  00:05    232
 26   56.2   58.7  14:05   54.5  05:50    8.8    0.0   0.01    1.1   15.0  01:25    234
 27   54.9   58.1  00:50   52.1  04:00   10.1    0.0   0.14    4.1   24.0  02:35    208
 28   46.2   55.6  09:45   36.9  21:15   18.8    0.0   0.54    2.2   16.0  00:30    211
 29   30.4   38.2  00:05   22.5  23:20   34.6    0.0   0.03    0.9   15.0  13:15     21
 30   27.8   36.4  14:55   19.3  04:55   37.2    0.0   0.05    0.2   10.0  14:10     34
---------------------------------------------------------------------------------------
      44.7   61.6     06   19.3     30  609.4    0.0   4.21    1.1   26.0     11    204
    
