                   MONTHLY CLIMATOLOGICAL SUMMARY for Oct 2015


NAME: Federal Way, Washington                  
ELEV: 365 feet    LAT: 47-18.60 N    LONG: 122-21.60 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   56.4   68.5  14:35   47.7  03:50    8.6    0.0   0.00    0.1   10.0  13:15    339
 02   55.0   59.7  16:15   50.9  02:35   10.0    0.0   0.05    0.5    8.0  14:50    206
 03   56.8   65.5  14:30   51.7  03:50    8.2    0.0   0.01    0.4   11.0  13:15     38
 04   57.2   69.2  14:40   46.4  07:50    7.8    0.0   0.00    0.4   11.0  14:45    339
 05   57.0   70.9  13:55   45.8  07:45    8.0    0.0   0.00    0.1    8.0  12:55    354
 06   56.4   64.3  13:30   48.3  04:55    8.6    0.0   0.00    0.3    8.0  12:20    212
 07   57.0   58.4  14:15   55.5  06:20    8.0    0.0   0.31    0.2    8.0  14:45    207
 08   59.5   66.5  15:10   55.1  06:10    5.5    0.0   0.00    0.0    5.0  15:10    N/A
 09   59.7   65.3  12:50   52.3  07:20    5.3    0.0   0.02    0.1    7.0  09:35    228
 10   61.0   70.4  13:35   54.8  00:00    4.0    0.0   1.29    1.7   24.0  14:50    222
 11   56.9   66.4  15:10   48.7  07:45    8.1    0.0   0.00    0.6   12.0  02:40    218
 12   57.8   66.5  16:30   49.1  04:25    7.2    0.0   0.01    0.3   12.0  16:30    226
 13   54.5   59.9  16:15   49.2  23:55   10.5    0.0   0.15    0.1    8.0  17:00    340
 14   51.3   57.7  15:10   47.8  05:00   13.7    0.0   0.01    0.2    8.0  11:45     62
 15   54.3   65.9  15:20   46.1  07:15   10.7    0.0   0.01    0.1    8.0  15:30     26
 16   55.6   67.5  16:10   46.3  06:50    9.4    0.0   0.00    0.0    8.0  11:45    339
 17   57.4   66.3  12:50   52.3  07:55    7.6    0.0   0.04    0.0    6.0  07:15    215
 18   56.5   58.1  16:45   54.5  02:50    8.5    0.0   0.14    0.0    5.0  15:15    198
 19   58.2   63.1  14:05   53.7  00:00    6.8    0.0   0.12    0.1    8.0  11:30    247
 20   55.2   63.0  15:00   48.4  23:50    9.8    0.0   0.01    0.0    6.0  13:05    345
 21   52.1   63.0  14:15   44.9  05:25   12.9    0.0   0.01    0.1    7.0  12:45    220
 22   51.9   61.2  13:25   44.9  23:50   13.1    0.0   0.00    0.1    9.0  13:40    338
 23   48.0   54.8  15:20   41.7  06:45   17.0    0.0   0.00    0.0    8.0  16:10    354
 24   49.8   56.5  15:40   47.2  08:20   15.2    0.0   0.00    0.1   12.0  14:20     23
 25   52.7   60.4  13:40   47.5  06:20   12.3    0.0   0.23    0.7   15.0  22:20    203
 26   52.3   54.7  00:05   50.2  06:20   12.7    0.0   0.23    2.7   16.0  04:50    204
 27   51.0   60.4  14:50   44.3  08:20   14.0    0.0   0.01    0.0    6.0  11:40     68
 28   52.8   55.7  16:05   50.5  00:20   12.2    0.0   0.09    1.0   10.0  15:35    203
 29   55.3   58.9  15:30   52.7  06:05    9.7    0.0   0.16    1.5   12.0  08:25    211
 30   57.3   63.1  14:40   52.4  05:25    7.7    0.0   0.60    3.4   23.0  10:10    228
 31   55.5   59.1  04:20   52.1  20:40    9.5    0.0   1.80    3.3   21.0  10:20    209
---------------------------------------------------------------------------------------
      55.2   70.9     05   41.7     23  302.7    0.0   5.30    0.6   24.0     10    215
    
