                   MONTHLY CLIMATOLOGICAL SUMMARY for Mar 2016


NAME: Federal Way, Washington                  
ELEV: 365 feet    LAT: 47-18.60 N    LONG: 122-21.60 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   46.3   57.6  13:15   41.9  19:05   18.7    0.0   0.97    3.1   30.0  14:45    217
 02   47.8   51.8  11:40   43.7  00:05   17.2    0.0   0.19    1.5   17.0  01:20    202
 03   51.3   58.5  15:25   45.8  00:00   13.7    0.0   0.08    1.5   20.0  11:00    210
 04   46.2   54.8  13:10   38.7  05:10   18.8    0.0   0.13    0.2    9.0  13:25    262
 05   54.5   62.5  14:05   46.1  00:10   10.5    0.0   0.23    0.9   13.0  03:15    195
 06   47.8   58.9  00:10   42.7  20:05   17.2    0.0   0.18    1.9   18.0  01:30    216
 07   43.8   49.9  14:00   39.1  23:25   21.2    0.0   0.28    2.1   19.0  04:20    218
 08   43.6   52.2  13:15   37.3  01:55   21.4    0.0   0.19    0.3    7.0  11:10    211
 09   45.6   54.3  00:00   41.8  00:05   19.4    0.0   0.73    1.4   19.0  21:45    201
 10   48.1   54.2  00:05   39.7  23:55   16.9    0.0   0.30    3.1   31.0  03:25    211
 11   43.9   52.4  10:45   34.5  04:40   21.1    0.0   0.29    0.2    7.0  13:25    204
 12   44.8   49.4  11:10   39.7  23:05   20.2    0.0   0.14    2.6   18.0  16:00    209
 13   43.3   53.8  12:55   39.8  06:45   21.7    0.0   0.29    2.9   32.0  13:10    205
 14   40.4   44.6  16:10   37.7  23:55   24.6    0.0   0.43    2.8   23.0  16:40    211
 15   42.4   49.8  15:25   37.1  02:55   22.6    0.0   0.00    1.8   12.0  10:55    213
 16   43.2   52.3  14:55   35.6  03:15   21.8    0.0   0.00    0.2   11.0  17:15    345
 17   44.7   53.2  15:20   33.7  07:35   20.3    0.0   0.00    0.8   16.0  14:55     20
 18   53.3   63.3  14:40   43.2  02:00   11.7    0.0   0.00    1.4   17.0  17:35    179
 19   52.7   60.7  15:05   45.3  03:35   12.3    0.0   0.00    0.1    7.0  13:45    302
 20   50.3   52.4  11:10   47.0  05:30   14.7    0.0   0.18    0.1    8.0  20:00    217
 21   48.0   54.0  16:25   44.8  23:55   17.0    0.0   0.37    0.6   13.0  18:30    212
 22   48.2   57.2  14:40   42.1  06:25   16.8    0.0   0.01    1.8   19.0  20:25    237
 23   47.3   49.9  11:10   44.1  23:55   17.7    0.0   0.24    2.1   16.0  22:40    209
 24   45.8   51.9  16:10   41.1  07:25   19.2    0.0   0.02    3.1   21.0  16:05    245
 25   46.8   55.7  15:05   41.8  23:35   18.2    0.0   0.00    0.6   14.0  03:55    232
 26   48.6   58.8  14:40   38.9  04:55   16.4    0.0   0.12    0.1    7.0  13:50    325
 27   48.1   55.1  14:20   40.8  00:00   16.9    0.0   0.06    3.0   22.0  06:50    243
 28   44.2   54.3  16:20   36.3  03:10   20.8    0.0   0.00    0.2   11.0  16:00     43
 29   49.3   60.5  16:00   36.2  05:30   15.7    0.0   0.00    0.7   13.0  15:00     26
 30   53.7   66.6  17:05   39.0  07:05   11.3    0.0   0.00    0.1   12.0  14:05    359
 31   57.1   71.7  18:00   43.2  07:10    7.9    0.0   0.00    0.1    8.0  14:45    338
---------------------------------------------------------------------------------------
      47.5   71.7     31   33.7     17  543.9    0.0   5.43    1.3   32.0     13    217
    
