                   MONTHLY CLIMATOLOGICAL SUMMARY for Aug 2018


NAME: Federal Way, Washington                  
ELEV: 365 feet    LAT: 47-18.60 N    LONG: 122-21.60 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   65.5   80.4  16:10   58.1  00:00    0.0    0.5   0.00    2.4   21.0  14:40    268
 02   62.0   71.5  16:45   56.7  08:00    3.0    0.0   0.01    3.6   34.0  19:10    249
 03   66.0   80.4  16:25   58.0  23:55    0.0    1.0   0.00    1.6   21.0  13:55    302
 04   67.6   83.2  14:55   54.7  05:20    0.0    2.6   0.00    1.9   27.0  16:50     14
 05   70.5   87.5  15:05   55.4  05:45    0.0    5.5   0.00    1.4   23.0  16:50      9
 06   71.4   89.8  15:25   55.9  06:20    0.0    6.4   0.00    1.4   25.0  16:25    356
 07   72.3   89.2  14:15   56.2  06:05    0.0    7.3   0.00    1.4   23.0  15:40    354
 08   76.3   94.8  16:00   57.4  05:35    0.0   11.3   0.00    0.9   18.0  11:55     12
 09   75.1   94.7  15:35   59.6  06:05    0.0   10.1   0.00    1.1   22.0  16:50    358
 10   69.9   83.7  16:35   59.1  06:05    0.0    4.9   0.00    2.6   25.0  16:55    267
 11   65.4   71.7  15:45   61.8  05:30    0.0    0.4   0.11    4.6   31.0  08:25    241
 12   64.7   77.2  14:30   56.8  00:00    0.3    0.0   0.00    1.2   20.0  13:50    346
 13   65.4   80.1  14:35   53.3  05:10    0.0    0.4   0.00    2.1   27.0  14:40      6
 14   70.0   84.8  16:05   56.8  06:25    0.0    5.0   0.00    1.0   21.0  14:40     25
 15   71.8   89.3  14:45   57.6  06:35    0.0    6.8   0.00    0.7   16.0  14:25    356
 16   65.0   77.5  16:45   58.1  05:30    0.0    0.0   0.00    0.9   17.0  17:05    279
 17   63.2   76.8  16:10   52.8  04:30    1.8    0.0   0.00    1.4   21.0  16:40    254
 18   66.6   83.3  15:15   50.7  06:25    0.0    1.6   0.00    1.2   22.0  12:30    360
 19   67.3   80.6  14:30   55.0  06:30    0.0    2.3   0.00    1.2   19.0  13:45      6
 20   68.4   83.6  16:20   54.1  06:55    0.0    3.4   0.00    1.1   23.0  14:20     23
 21   73.0   89.3  15:40   58.7  04:35    0.0    8.0   0.00    0.7   19.0  14:05      8
 22   71.4   92.6  16:45   57.2  06:15    0.0    6.4   0.00    1.0   22.0  16:50    303
 23   63.2   75.7  16:15   56.7  07:55    1.8    0.0   0.01    2.4   22.0  10:15    250
 24   61.1   71.5  15:00   54.2  00:00    3.9    0.0   0.00    1.3   23.0  17:35    252
 25   57.1   64.3  16:25   49.9  03:55    7.9    0.0   0.00    0.7   16.0  16:25    227
 26   59.6   64.9  14:15   56.9  23:25    5.4    0.0   0.02    1.9   27.0  10:55    246
 27   63.7   78.3  15:05   55.5  05:55    1.3    0.0   0.01    1.2   24.0  11:30     43
 28   67.0   85.8  15:40   49.9  06:45    0.0    2.0   0.00    0.9   22.0  15:00     22
 29   64.8   79.7  14:10   52.3  06:50    0.2    0.0   0.00    1.5   30.0  17:50    271
 30   64.0   75.0  15:30   58.9  05:15    1.0    0.0   0.00    1.4   26.0  17:15    257
 31   63.5   74.0  14:50   56.5  07:25    1.5    0.0   0.00    2.1   22.0  14:20    256
---------------------------------------------------------------------------------------
      66.9   94.8     08   49.9     25   28.2   85.8   0.16    1.6   34.0     02    296
    
